year,date,name,acres,latitude,longitude,burn_type,treatment_type,county_unit_ID,county,source,escaped
2019,2019-05-15,,0.25,38.723822,-120.56714,Broadcast,,,El Dorado,PFIRS,FALSE
2019,2019-05-15,,0.25,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-05-16,,0.25,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-05-21,,0.25,38.904,-121.056,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-06-03,,0.25,39.08232,-120.93693,Hand Pile,,,Placer,PFIRS,FALSE
2019,2019-12-04,,0.25,39.280877,-120.11968,Machine Pile,,,Placer,PFIRS,FALSE
2019,2019-12-05,,0.25,38.28649,-120.19304,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-05,,0.25,38.723822,-120.56714,Broadcast,,,El Dorado,PFIRS,FALSE
2019,2019-12-05,,0.25,38.723822,-120.56714,Broadcast,,,El Dorado,PFIRS,FALSE
2019,2019-12-05,,0.25,38.723822,-120.56714,UNK,,,El Dorado,PFIRS,FALSE
2019,2019-12-06,,0.25,38.28649,-120.19304,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-09,,0.25,38.26468,-120.31768,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-09,,0.25,38.28649,-120.19304,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-10,,0.25,39.845718,-121.702139,Hand Pile,,,Butte,PFIRS,FALSE
2019,2019-12-10,,0.25,38.26468,-120.31768,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-10,,0.25,38.28649,-120.19304,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-10,,0.25,38.723822,-120.56714,Broadcast,,,El Dorado,PFIRS,FALSE
2019,2019-12-10,,0.25,38.723822,-120.56714,Broadcast,,,El Dorado,PFIRS,FALSE
2019,2019-12-11,,0.25,39.850458,-121.701337,Hand Pile,,,Butte,PFIRS,FALSE
2019,2019-12-11,,0.25,38.26468,-120.31768,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-11,,0.25,38.28649,-120.19304,Hand Pile,,,Calaveras,PFIRS,FALSE
2019,2019-12-12,,0.25,38.26468,-120.31768,Hand Pile,,,Calaveras,PFIRS,FALSE
